"","ClassActinopterygii","ClassAves","ClassMammalia","ClassReptilia","nchar","haddock_score_mean","haddock_score_sd","ForStrat.ground","ForStrat.understory","ForStrat.arboreal","ForStrat.aerial","ForStrat.marine","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","incubation_d","weaning_d","log_litterclutch_size_n","litters_or_clutches_per_y","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","maximum_longevity_y","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","gestation_d","longevity_y","log_female_body_mass_g","log_male_body_mass_g","log_no_sex_body_mass","adult_svl_cm","diet_breadth","range_size","major_habitat_type_breadth","tnc_ecoregion_breadth","AA_30_positive","OrderCarnivora","OrderChiroptera","OrderPasseriformes","OrderPerciformes","OrderPrimates","OrderRodentia","ClassActinopterygii.1","ClassAves.1","ClassMammalia.1","ClassReptilia.1","above_haddock_median"
"54",0,0,0,1,828,-120.20015,2.28895994103581,NA,NA,NA,NA,NA,NA,NA,NA,2556.68,1642,68.5,NA,1.79175946922805,2,NA,NA,NA,5.91835607528734,61,NA,NA,0.0236,289.5,NA,23.3,5.93489419561959,NA,5.97888576490112,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1
"55",0,0,1,0,799,-119.44585,2.43581868977239,1,0,0,0,0,1,0,0,NA,NA,NA,75.26,1.13783300182139,NA,NA,-0.891598119283784,NA,3.60902422886447,2.408333,NA,NA,NA,NA,NA,2.408333,NA,NA,NA,10.825,0.1,41667.5892793512,0.125,0.0357142857142857,0,0,0,0,0,0,0,0,0,1,0,1
"56",1,0,0,0,821,-129.0867,3.48828592705485,1,0,0,0,1,NA,NA,NA,1095,1095,NA,NA,NA,NA,NA,NA,NA,5.04234926958578,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,81826095.4366334,0.5,0.161392405063291,1,0,0,0,0,0,0,1,0,0,0,0
"57",0,0,1,0,800,-115.64345,2.29995500837637,1,0,0,0,0,1,1,1,304.16,304,40,24,1.48613969608961,1,NA,0.405465108108164,3.40119738166216,3.95412418144678,3,NA,NA,0.615,310.85,40,2.5,NA,NA,3.89182029811063,12.1325,0.2,3486994.1626736,0.25,0.19047619047619,1,0,0,0,0,0,0,0,0,1,0,1
"58",0,1,0,0,811,-109.882518,1.77333983112719,0,1,1,0,0,0,0,1,NA,NA,NA,NA,0.693147180559945,NA,NA,NA,NA,2.46809953147162,NA,NA,NA,NA,NA,NA,NA,2.53369681395743,2.3887627892351,NA,NA,0.2,NA,NA,NA,1,0,0,1,0,0,0,0,1,0,0,1
"59",0,1,0,0,811,-126.950654,3.63783899651123,1,1,1,0,0,0,0,1,NA,NA,NA,NA,0.993251773010283,NA,NA,NA,NA,5.73334127689775,NA,NA,NA,NA,NA,NA,NA,5.51745289646471,5.73334127689775,NA,40,0.6,17058.4477955052,0.0625,0.0119047619047619,1,0,0,1,0,0,0,0,1,0,0,1
"60",1,0,0,0,807,-141.0667,1.56540925426335,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,48307240.715276,0.166666666666667,0.0301724137931034,0,0,0,0,1,0,0,1,0,0,0,0
"61",0,1,0,0,807,-107.6108,3.76146377890311,1,0,0,0,0,0,0,1,213.234,52,17,NA,2.32238772029023,1.25,NA,2.18661291674163,NA,4.57057874121847,14.583333,0.07,1.2,NA,NA,NA,6.791667,4.62742079492291,4.53528405852393,4.60517018598809,18.5,0.2,275643.592461275,0.25,0.0714285714285714,0,0,0,0,0,0,0,0,1,0,0,1
"62",0,0,0,1,803,-109.494096,1.41746835762605,NA,NA,NA,NA,NA,NA,NA,NA,3652.5,5843.92,87.5,NA,3.86703338005323,1,NA,4.30135873160643,NA,12.2060726455302,41.7,NA,NA,NA,NA,NA,41.7,11.2733984344055,NA,11.2733984344055,NA,NA,6045219.0352085,0.5,0.619047619047619,0,0,0,0,0,0,0,0,0,0,1,1
"63",0,0,1,0,805,-138.07947,2.78178752285888,1,0,0,0,0,1,1,0,1049.694,639,110,321.70852,0.693147180559945,1,0.197537176570332,7.23705902612474,9.58190392840867,11.0508900053737,41.1,NA,NA,NA,NA,110,41.1,NA,10.7144177687525,NA,137.9055,0.1,14474886.6142361,0.5,0.333333333333333,1,1,0,0,0,0,0,0,0,1,0,0
